method,metric,unit,estimate,numerator_or_sum,eligible_or_count,ci_level,ci_lower,ci_upper,raw_n,raw_mean,raw_sd,raw_median,raw_q1,raw_q3,raw_min,raw_max
halton_prm,clear_success,proportion,0.8088888888888889,2912.0,3600,0.95,0.7927777777777778,0.8255555555555556,3600,0.8088888888888889,0.39323098462284334,1.0,1.0,1.0,0.0,1.0
halton_prm,dynamic_success,proportion,0.805,2898.0,3600,0.95,0.7886111111111112,0.8213888888888888,3600,0.805,0.3962557460558782,1.0,1.0,1.0,0.0,1.0
halton_prm,conditional_retention,proportion,0.9948489010989011,2897.0,2912,0.95,0.9918200408997955,0.9975456250472996,2912,0.9948489010989011,0.07159836237781556,1.0,1.0,1.0,0.0,1.0
halton_prm,path_change_joint_success,proportion,0.2709699689333794,785.0,2897,0.95,0.2523032826438221,0.2899348325031685,2897,0.2709699689333794,0.4445373527687672,0.0,0.0,1.0,0.0,1.0
halton_prm,build_time_ms,ms,1399.693526933334,83981.61161600004,60,0.95,1391.2451990266673,1408.9955392,60,1399.6935269333333,35.373030561072426,1393.798384,1377.715256,1411.229296,1342.689696,1517.766688
halton_prm,planning_time_clear_ms,ms,6.577950307692309,19154.991296000004,2912,0.95,6.4573357509453455,6.701454622937123,2912,6.577950307692308,2.5047878466540916,6.223696,4.773272,7.928288,1.091488,23.502944
halton_prm,planning_time_dynamic_ms,ms,14.600769358178049,42313.02959999999,2898,0.95,14.42750482684483,14.77330958519957,2898,14.600769358178054,6.4255012120479735,12.92976,9.317512,19.153232000000003,2.712544,42.612864
halton_prm,query_latency_clear_ms,ms,7.985990453461353,28749.56563246087,3600,0.95,7.813886893930733,8.158879220461637,3600,7.985990453461353,3.7737332455701718,7.830703994841315,5.4512000060640275,10.147264008992352,1.0388480150140822,33.170336013427004
halton_prm,query_latency_dynamic_ms,ms,16.100812577909284,57962.92528047343,3600,0.95,15.90537705696099,16.29597407838709,3600,16.100812577909284,7.138209339819594,14.80889601225499,10.745687992312014,21.108968008775264,1.9562240049708635,46.13766400143504
halton_prm,path_cost_clear,joint-space cost,15.323658730353415,44622.494222789144,2912,0.95,15.107576002821704,15.540736759557737,2912,15.32365873035341,5.174381557259818,15.284360684041392,11.385576843172428,18.878502955544015,0.973108320155596,32.66942709717215
halton_prm,path_cost_dynamic,joint-space cost,15.879349127353713,46018.35377107106,2898,0.95,15.670705100056562,16.091353616880422,2898,15.879349127353715,5.212082290777549,15.664957751624797,12.04198305191413,19.340431534511417,0.973108320155596,35.85676044467403
