x_mm,y_mm,z_mm,position_found,pose_found,best_position_error_mm,rcond,joint_margin_deg,orientation_error_deg,position_error_mm,status,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,target_roll_deg,target_pitch_deg,target_yaw_deg
-400,100,-250,0,0,161.18544255399578,,,,,position_unresolved,,,,,,,0,0,165.96375653207352
-400,100,-200,0,0,128.92897527074371,,,,,position_unresolved,,,,,,,0,0,165.96375653207352
-400,100,-150.00000000000003,0,0,100.22669105569088,,,,,position_unresolved,,,,,,,0,0,165.96375653207352
-400,100,-100,0,0,76.286047298654069,,,,,position_unresolved,,,,,,,0,0,165.96375653207352
-400,100,-50,0,0,57.560196629170299,,,,,position_unresolved,,,,,,,0,0,165.96375653207352
-400,100,0,0,0,43.805991219072268,,,,,position_unresolved,,,,,,,0,0,165.96375653207352
-400,100,50,0,0,35.504689305991043,,,,,position_unresolved,,,,,,,0,0,165.96375653207352
-400,100,100,0,0,32.976709265968935,,,,,position_unresolved,,,,,,,0,0,165.96375653207352
-400,100,150.00000000000003,0,0,36.324525390247111,,,,,position_unresolved,,,,,,,0,0,165.96375653207352
-400,100,200,0,0,45.412935188681082,,,,,position_unresolved,,,,,,,0,0,165.96375653207352
-400,100,250,0,0,59.894943418087095,,,,,position_unresolved,,,,,,,0,0,165.96375653207352
-400,150.00000000000003,-200,0,0,140.56894817111586,,,,,position_unresolved,,,,,,,0,0,159.44395478041653
-400,150.00000000000003,-150.00000000000003,0,0,112.32106526742595,,,,,position_unresolved,,,,,,,0,0,159.44395478041653
-400,150.00000000000003,-100,0,0,89.475025365522995,,,,,position_unresolved,,,,,,,0,0,159.44395478041653
-400,150.00000000000003,-50,0,0,71.283733220194478,,,,,position_unresolved,,,,,,,0,0,159.44395478041653
-400,150.00000000000003,0,0,0,57.950164272160578,,,,,position_unresolved,,,,,,,0,0,159.44395478041653
-400,150.00000000000003,50,0,0,49.915241287937285,,,,,position_unresolved,,,,,,,0,0,159.44395478041653
-400,150.00000000000003,100,0,0,47.470352475512257,,,,,position_unresolved,,,,,,,0,0,159.44395478041653
-400,150.00000000000003,150.00000000000003,0,0,50.708331368109874,,,,,position_unresolved,,,,,,,0,0,159.44395478041653
-400,150.00000000000003,200,0,0,59.506659218262783,,,,,position_unresolved,,,,,,,0,0,159.44395478041653
-400,200,-200,0,0,155.82594802221541,,,,,position_unresolved,,,,,,,0,0,153.43494882292202
-400,200,-150.00000000000003,0,0,129.26359847633543,,,,,position_unresolved,,,,,,,0,0,153.43494882292202
-400,200,-100,0,0,107.35353916672445,,,,,position_unresolved,,,,,,,0,0,153.43494882292202
-400,200,-50,0,0,89.839110306139673,,,,,position_unresolved,,,,,,,0,0,153.43494882292202
-400,200,0,0,0,77.03445385996956,,,,,position_unresolved,,,,,,,0,0,153.43494882292202
-400,200,50,0,0,69.332760076881712,,,,,position_unresolved,,,,,,,0,0,153.43494882292202
-400,200,100,0,0,66.9915392231607,,,,,position_unresolved,,,,,,,0,0,153.43494882292202
-400,200,150.00000000000003,0,0,70.092452768422504,,,,,position_unresolved,,,,,,,0,0,153.43494882292202
-400,200,200,0,0,78.527688214443828,,,,,position_unresolved,,,,,,,0,0,153.43494882292202
-400,250,-100,0,0,129.43851702194368,,,,,position_unresolved,,,,,,,0,0,147.99461679191648
-400,250,-50,0,0,112.69261459743478,,,,,position_unresolved,,,,,,,0,0,147.99461679191648
-400,250,0,0,0,100.48372302651073,,,,,position_unresolved,,,,,,,0,0,147.99461679191648
-400,250,50,0,0,93.155192061388462,,,,,position_unresolved,,,,,,,0,0,147.99461679191648
-400,250,100,0,0,90.929714792520272,,,,,position_unresolved,,,,,,,0,0,147.99461679191648
-350.00000000000006,-300.00000000000006,-150.00000000000003,0,0,140.01136099046829,,,,,position_unresolved,,,,,,,0,0,-139.39870535499551
-350.00000000000006,-300.00000000000006,-100,0,0,118.56476526541745,,,,,position_unresolved,,,,,,,0,0,-139.39870535499551
-350.00000000000006,-300.00000000000006,-50,0,0,101.44923596244922,,,,,position_unresolved,,,,,,,0,0,-139.39870535499551
-350.00000000000006,-300.00000000000006,0,0,0,88.954424919700031,,,,,position_unresolved,,,,,,,0,0,-139.39870535499551
-350.00000000000006,-300.00000000000006,50,0,0,81.447086984352126,,,,,position_unresolved,,,,,,,0,0,-139.39870535499551
