run_index,stream_ordinal,roadmap_stream_id,method,method_order_position,ros_domain_id,reported_method,graph_revision,expanded_urdf_sha256,srdf_sha256,reachability_parameters_sha256,requested_node_count,anchor_node_count,prototype_budget,prototype_node_count,requested_guard_node_count,guard_node_count,fill_sample_node_count,candidate_attempts,halton_start_index,sample_stream_seed,sample_stream_type,gng_training_sample_count,effective_guard_fraction,nodes,edges,components,build_time_ms,joint_names,graph_publisher_count,plan_publisher_count,query_subscriber_count,catalog_id,catalog_sha256,rmw_implementation,ros_localhost_only,launch_log,infrastructure_error
78,26,126,guarded_gng,0,98,guarded_gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,199,199,599,599,0,4134,17,126,digit_permuted_halton,4000,0.75,800,3496,16,1538.558848,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0078_stream_126_guarded_gng_domain_98.log,
79,26,126,gng,1,99,gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,798,798,0,0,0,4134,17,126,digit_permuted_halton,4000,0.0,800,4560,3,1719.05968,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0079_stream_126_gng_domain_99.log,
80,26,126,halton_prm,2,20,halton_prm,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,0,0,0,0,798,824,17,126,digit_permuted_halton,0,0.0,800,3184,18,1376.313536,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0080_stream_126_halton_prm_domain_20.log,
81,27,127,guarded_gng,0,21,guarded_gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,199,199,599,599,0,4147,17,127,digit_permuted_halton,4000,0.75,800,3539,14,1563.054176,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0081_stream_127_guarded_gng_domain_21.log,
82,27,127,halton_prm,1,22,halton_prm,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,0,0,0,0,798,826,17,127,digit_permuted_halton,0,0.0,800,3286,12,1382.49056,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0082_stream_127_halton_prm_domain_22.log,
83,27,127,gng,2,23,gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,798,798,0,0,0,4147,17,127,digit_permuted_halton,4000,0.0,800,4534,1,1715.009728,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0083_stream_127_gng_domain_23.log,
84,28,128,halton_prm,0,24,halton_prm,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,0,0,0,0,798,827,17,128,digit_permuted_halton,0,0.0,800,3257,10,1399.358464,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0084_stream_128_halton_prm_domain_24.log,
85,28,128,gng,1,25,gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,798,798,0,0,0,4140,17,128,digit_permuted_halton,4000,0.0,800,4568,1,1735.545664,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0085_stream_128_gng_domain_25.log,
86,28,128,guarded_gng,2,26,guarded_gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,199,199,599,599,0,4140,17,128,digit_permuted_halton,4000,0.75,800,3641,13,1636.546336,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0086_stream_128_guarded_gng_domain_26.log,
87,29,129,halton_prm,0,27,halton_prm,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,0,0,0,0,798,827,17,129,digit_permuted_halton,0,0.0,800,3252,13,1372.615648,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0087_stream_129_halton_prm_domain_27.log,
