run_index,stream_ordinal,roadmap_stream_id,method,method_order_position,ros_domain_id,plan_graph_method,graph_revision,scene_id,catalog_index,base_trajectory_id,source_counter,scene_order_position,phase,obstacle_kind,stratum,phase_order_position,query_id,start_joint_positions,target_position,target_source_joint_positions,requested_target_environment_node_id,requested_target_position,selected_target_environment_node_id,valid,exact_valid,reason,timeout,infrastructure_error,blocked_nodes,blocked_edges,planning_time_ms,publish_to_plan_ms,exact_checks,exact_replans,exact_time_ms,start_node_id,goal_node_id,target_distance,graph_cost,start_connection_cost,total_joint_path_cost,path_nodes,path_ids,preview_start_joints
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_018,18,base_000033,33,11,clear,none,"{""difficulty"":""low"",""obstacle_kind"":""segment""}",1,2677,"[-2.430667708928213,0.002520887186966636,0.0633647525498735,-0.6346508773924648,-0.9539860334757089,0.46929530947143183]","[0.07314112790420951,-0.14730114257115526,0.23684379702210293]","[-1.6971737091280898,-0.7832128516933685,1.724160992564482,0.8160872618864539,0.7331541897947249,1.7484754896581576]",1000180,"[0.07314112790420951,-0.14730114257115526,0.23684379702210293]",1000180,True,True,path_ready_exact_validated_preview_only,False,,0,0,4.006304,5.72185599594377,137,0,2.864256000000001,399,441,0.014201775182931376,8.236515976769843,1.5526884303084156,9.789204407078259,5,"[399,799,628,96,441]","[-2.430667708928213,0.002520887186966636,0.0633647525498735,-0.6346508773924648,-0.9539860334757089,0.46929530947143183]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_019,19,base_000012,12,12,clear,none,"{""difficulty"":""low"",""obstacle_kind"":""segment""}",0,2679,"[0.049679661221993854,1.0070359764199361,1.3337077241084074,-0.928262991773978,-1.386835614798474,2.0504105236299575]","[0.12361810379899926,0.08602213146133528,0.4161087214506186]","[-1.990576974544377,-0.6508616911627527,0.17433224251752688,-2.3576323947062083,-0.6221471290027416,0.8325157705173463]",1000190,"[0.12361810379899926,0.08602213146133528,0.4161087214506186]",1000190,True,True,path_ready_exact_validated_preview_only,False,,0,0,5.42768,6.845984025858343,229,0,4.491487999999999,507,654,0.02605579134978498,13.817705114595311,1.088719290943281,14.906424405538592,7,"[507,150,711,108,504,432,654]","[0.049679661221993854,1.0070359764199361,1.3337077241084074,-0.928262991773978,-1.386835614798474,2.0504105236299575]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_019,19,base_000012,12,12,dynamic,segment,"{""difficulty"":""low"",""obstacle_kind"":""segment""}",1,2680,"[0.049679661221993854,1.0070359764199361,1.3337077241084074,-0.928262991773978,-1.386835614798474,2.0504105236299575]","[0.12361810379899926,0.08602213146133528,0.4161087214506186]","[-1.990576974544377,-0.6508616911627527,0.17433224251752688,-2.3576323947062083,-0.6221471290027416,0.8325157705173463]",1000190,"[0.12361810379899926,0.08602213146133528,0.4161087214506186]",1000190,True,True,path_ready_exact_validated_preview_only,False,,40,441,15.330976,17.277984006796032,229,0,4.543647999999999,507,654,0.02605579134978498,13.817705114595311,1.088719290943281,14.906424405538592,7,"[507,150,711,108,504,432,654]","[0.049679661221993854,1.0070359764199361,1.3337077241084074,-0.928262991773978,-1.386835614798474,2.0504105236299575]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_020,20,base_000013,13,13,dynamic,point,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",0,2682,"[2.372806454370947,1.8740695303758632,1.2005093206213426,-0.027969837966395517,-0.8438269394033396,-2.2784597186948936]","[0.124268592572796,-0.11547572923013089,0.2650731519293124]","[0.4903756870636009,-0.31885473836369416,1.6519576800001334,1.2631595915027467,-1.6117096835029978,-1.2499318409716513]",1000200,"[0.124268592572796,-0.11547572923013089,0.2650731519293124]",1000200,True,True,path_ready_exact_validated_preview_only,False,,12,96,9.183776,10.924960020929575,247,0,5.332512000000001,4,529,0.025820101705559886,14.92000065733617,2.0729955167666283,16.9929961741028,8,"[4,691,398,518,232,653,230,529]","[2.372806454370947,1.8740695303758632,1.2005093206213426,-0.027969837966395517,-0.8438269394033396,-2.2784597186948936]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_020,20,base_000013,13,13,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",1,2681,"[2.372806454370947,1.8740695303758632,1.2005093206213426,-0.027969837966395517,-0.8438269394033396,-2.2784597186948936]","[0.124268592572796,-0.11547572923013089,0.2650731519293124]","[0.4903756870636009,-0.31885473836369416,1.6519576800001334,1.2631595915027467,-1.6117096835029978,-1.2499318409716513]",1000200,"[0.124268592572796,-0.11547572923013089,0.2650731519293124]",1000200,True,True,path_ready_exact_validated_preview_only,False,,0,0,6.315392,7.941759977256879,247,0,5.231008000000002,4,529,0.025820101705559886,14.92000065733617,2.0729955167666283,16.9929961741028,8,"[4,691,398,518,232,653,230,529]","[2.372806454370947,1.8740695303758632,1.2005093206213426,-0.027969837966395517,-0.8438269394033396,-2.2784597186948936]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_021,21,base_000035,35,14,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",0,2683,"[2.365046762259448,0.9893495195030018,1.7098049489156026,-1.2109695743799218,-1.142530271998557,0.05015977684699413]","[0.21942523098448335,-0.28758271866109525,-0.020942105825431212]","[-0.8278006470996493,1.44205213637645,0.8495263936539272,0.564090033394165,-0.501823706866948,0.9920400789175523]",1000210,"[0.21942523098448335,-0.28758271866109525,-0.020942105825431212]",4294967295,False,False,target_outside_reachability_intersection,False,,0,0,1.609056,2.521535992855206,31,0,0.62448,73,4294967295,-1.0,-1.0,1.774915697992103,-1.0,0,[],"[2.365046762259448,0.9893495195030018,1.7098049489156026,-1.2109695743799218,-1.142530271998557,0.05015977684699413]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_021,21,base_000035,35,14,dynamic,point,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",1,2684,"[2.365046762259448,0.9893495195030018,1.7098049489156026,-1.2109695743799218,-1.142530271998557,0.05015977684699413]","[0.21942523098448335,-0.28758271866109525,-0.020942105825431212]","[-0.8278006470996493,1.44205213637645,0.8495263936539272,0.564090033394165,-0.501823706866948,0.9920400789175523]",1000210,"[0.21942523098448335,-0.28758271866109525,-0.020942105825431212]",4294967295,False,False,target_outside_reachability_intersection,False,,6,55,2.877408,3.7623359821736813,31,0,0.63376,73,4294967295,-1.0,-1.0,1.774915697992103,-1.0,0,[],"[2.365046762259448,0.9893495195030018,1.7098049489156026,-1.2109695743799218,-1.142530271998557,0.05015977684699413]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_022,22,base_000009,9,15,dynamic,point,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",0,2686,"[-0.12441770503486715,-0.09304597369939338,1.2229728386234955,0.4474022466013219,-0.6273760036419063,-1.6976121765840482]","[-0.2148587454285048,0.13606893710073775,0.36126371429634113]","[-0.42076106418821224,-0.6928647660041058,-0.13220007346490226,-2.0051132076258473,-0.21561746666965176,1.1298334024872045]",1000220,"[-0.2148587454285048,0.13606893710073775,0.36126371429634113]",1000220,True,True,path_ready_exact_validated_preview_only,False,,12,245,9.310112,10.938911989796907,168,0,3.3706559999999977,170,584,0.02403846648032543,10.710951449404547,0.8211007990265293,11.532052248431077,7,"[170,517,256,723,303,718,584]","[-0.12441770503486715,-0.09304597369939338,1.2229728386234955,0.4474022466013219,-0.6273760036419063,-1.6976121765840482]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_022,22,base_000009,9,15,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",1,2685,"[-0.12441770503486715,-0.09304597369939338,1.2229728386234955,0.4474022466013219,-0.6273760036419063,-1.6976121765840482]","[-0.2148587454285048,0.13606893710073775,0.36126371429634113]","[-0.42076106418821224,-0.6928647660041058,-0.13220007346490226,-2.0051132076258473,-0.21561746666965176,1.1298334024872045]",1000220,"[-0.2148587454285048,0.13606893710073775,0.36126371429634113]",1000220,True,True,path_ready_exact_validated_preview_only,False,,0,0,6.056896,7.451135985320434,173,0,5.148256000000001,170,584,0.02403846648032543,10.286353964193472,0.8211007990265293,11.107454763220002,6,"[170,539,323,683,39,584]","[-0.12441770503486715,-0.09304597369939338,1.2229728386234955,0.4474022466013219,-0.6273760036419063,-1.6976121765840482]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_023,23,base_000020,20,16,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",0,2687,"[-2.030342904414002,-1.3262405786139344,1.1608173007903182,0.3992274793568784,-0.5571439726056655,0.3976008905572086]","[0.3049599606011558,-0.068148480464863,0.2543768087879422]","[-0.6726148626814312,0.9153044576262501,-0.006620566025486774,1.3732018784682123,0.9458090265171915,-0.6965875502976899]",1000230,"[0.3049599606011558,-0.068148480464863,0.2543768087879422]",4294967295,False,False,target_outside_reachability_intersection,False,,0,0,1.161728,2.105343999573961,16,0,0.31776,617,4294967295,-1.0,-1.0,1.1155952596364396,-1.0,0,[],"[-2.030342904414002,-1.3262405786139344,1.1608173007903182,0.3992274793568784,-0.5571439726056655,0.3976008905572086]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_023,23,base_000020,20,16,dynamic,point,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",1,2688,"[-2.030342904414002,-1.3262405786139344,1.1608173007903182,0.3992274793568784,-0.5571439726056655,0.3976008905572086]","[0.3049599606011558,-0.068148480464863,0.2543768087879422]","[-0.6726148626814312,0.9153044576262501,-0.006620566025486774,1.3732018784682123,0.9458090265171915,-0.6965875502976899]",1000230,"[0.3049599606011558,-0.068148480464863,0.2543768087879422]",4294967295,False,False,target_outside_reachability_intersection,False,,23,400,5.466464,6.3272640109062195,16,0,0.33024,617,4294967295,-1.0,-1.0,1.1155952596364396,-1.0,0,[],"[-2.030342904414002,-1.3262405786139344,1.1608173007903182,0.3992274793568784,-0.5571439726056655,0.3976008905572086]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_024,24,base_000028,28,17,dynamic,point,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",0,2690,"[-1.3914128307583062,-1.5423258802964535,-1.6105214412792963,1.6373882307844259,1.4229502491543233,1.5482746584126827]","[-0.03914613934002442,-0.1068711016511151,0.2630997628188079]","[-2.2439834746777043,-0.4335076403367608,0.5298542449712427,0.16538759475587517,1.6611182088766123,-1.1537625400735039]",1000240,"[-0.03914613934002442,-0.1068711016511151,0.2630997628188079]",1000240,True,True,path_ready_exact_validated_preview_only,False,,25,215,9.458784,11.067359999287874,326,0,6.654624,797,523,0.033665984665867454,20.66858609339172,1.2030489452507585,21.87163503864248,10,"[797,11,597,71,122,382,563,380,302,523]","[-1.3914128307583062,-1.5423258802964535,-1.6105214412792963,1.6373882307844259,1.4229502491543233,1.5482746584126827]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_024,24,base_000028,28,17,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",1,2689,"[-1.3914128307583062,-1.5423258802964535,-1.6105214412792963,1.6373882307844259,1.4229502491543233,1.5482746584126827]","[-0.03914613934002442,-0.1068711016511151,0.2630997628188079]","[-2.2439834746777043,-0.4335076403367608,0.5298542449712427,0.16538759475587517,1.6611182088766123,-1.1537625400735039]",1000240,"[-0.03914613934002442,-0.1068711016511151,0.2630997628188079]",1000240,True,True,path_ready_exact_validated_preview_only,False,,0,0,7.487968,9.665183984907344,312,0,6.506336000000001,797,523,0.033665984665867454,19.277697088102094,1.2030489452507585,20.48074603335285,10,"[797,233,685,792,55,432,650,609,302,523]","[-1.3914128307583062,-1.5423258802964535,-1.6105214412792963,1.6373882307844259,1.4229502491543233,1.5482746584126827]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_025,25,base_000026,26,18,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",0,2691,"[1.608482219125115,-1.4947139764693322,1.8472954280970408,0.024056861010148367,-0.27218944237403253,-2.166349267386066]","[-0.0688971587388818,0.282381163635056,0.011361540311365888]","[2.2188571322128867,1.2030923994467857,0.35678962776773204,2.381362652417965,-1.2415257835042555,-1.4420452353891222]",1000250,"[-0.0688971587388818,0.282381163635056,0.011361540311365888]",1000250,True,True,path_ready_exact_validated_preview_only,False,,0,0,5.57072,7.07759999204427,246,0,4.589888000000003,65,332,0.022001208306310294,14.045582490560943,1.0190204532026235,15.064602943763566,7,"[65,84,102,618,52,35,332]","[1.608482219125115,-1.4947139764693322,1.8472954280970408,0.024056861010148367,-0.27218944237403253,-2.166349267386066]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_025,25,base_000026,26,18,dynamic,point,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",1,2692,"[1.608482219125115,-1.4947139764693322,1.8472954280970408,0.024056861010148367,-0.27218944237403253,-2.166349267386066]","[-0.0688971587388818,0.282381163635056,0.011361540311365888]","[2.2188571322128867,1.2030923994467857,0.35678962776773204,2.381362652417965,-1.2415257835042555,-1.4420452353891222]",1000250,"[-0.0688971587388818,0.282381163635056,0.011361540311365888]",1000250,True,True,path_ready_exact_validated_preview_only,False,,19,324,11.288096,12.900288013042882,246,0,4.716128000000002,65,332,0.022001208306310294,14.045582490560943,1.0190204532026235,15.064602943763566,7,"[65,84,102,618,52,35,332]","[1.608482219125115,-1.4947139764693322,1.8472954280970408,0.024056861010148367,-0.27218944237403253,-2.166349267386066]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_026,26,base_000022,22,19,dynamic,point,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",0,2694,"[-1.0558784660952147,0.1785851109880916,1.6415104593289125,-2.099726053742992,-1.3270624422488506,0.47250346250143727]","[-0.010071984968302403,0.2003247668215212,-0.10133233953724437]","[1.0471170410742512,1.4329036310260905,1.1086977562832567,0.9956154699115665,1.0651585569914632,0.9915060739980515]",1000260,"[-0.010071984968302403,0.2003247668215212,-0.10133233953724437]",1000260,True,True,path_ready_exact_validated_preview_only,False,,1,25,8.063744,10.023583978181705,239,0,5.059263999999999,189,72,0.02782540767629028,14.644743217137709,1.0618375892166891,15.706580806354397,8,"[189,230,653,232,518,398,691,72]","[-1.0558784660952147,0.1785851109880916,1.6415104593289125,-2.099726053742992,-1.3270624422488506,0.47250346250143727]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_026,26,base_000022,22,19,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",1,2693,"[-1.0558784660952147,0.1785851109880916,1.6415104593289125,-2.099726053742992,-1.3270624422488506,0.47250346250143727]","[-0.010071984968302403,0.2003247668215212,-0.10133233953724437]","[1.0471170410742512,1.4329036310260905,1.1086977562832567,0.9956154699115665,1.0651585569914632,0.9915060739980515]",1000260,"[-0.010071984968302403,0.2003247668215212,-0.10133233953724437]",1000260,True,True,path_ready_exact_validated_preview_only,False,,0,0,5.964928,7.488415983971208,239,0,4.955903999999998,189,72,0.02782540767629028,14.644743217137709,1.0618375892166891,15.706580806354397,8,"[189,230,653,232,518,398,691,72]","[-1.0558784660952147,0.1785851109880916,1.6415104593289125,-2.099726053742992,-1.3270624422488506,0.47250346250143727]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_027,27,base_000023,23,20,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",0,2695,"[1.0419782091117193,0.3294263252257559,0.49267009403132667,0.6492350349166411,0.7731906277090517,1.3647630874340853]","[-0.14787763616606964,-0.20510296321798888,-0.049336762797363785]","[0.341443278242906,-1.377908675343095,-1.458765921551226,-1.2385681195245581,1.1423327908653291,-2.446378871922618]",1000270,"[-0.14787763616606964,-0.20510296321798888,-0.049336762797363785]",4294967295,False,False,target_outside_reachability_intersection,False,,0,0,1.587872,2.461503987433389,30,0,0.637664,94,4294967295,-1.0,-1.0,1.5831172688899358,-1.0,0,[],"[1.0419782091117193,0.3294263252257559,0.49267009403132667,0.6492350349166411,0.7731906277090517,1.3647630874340853]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_027,27,base_000023,23,20,dynamic,point,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",1,2696,"[1.0419782091117193,0.3294263252257559,0.49267009403132667,0.6492350349166411,0.7731906277090517,1.3647630874340853]","[-0.14787763616606964,-0.20510296321798888,-0.049336762797363785]","[0.341443278242906,-1.377908675343095,-1.458765921551226,-1.2385681195245581,1.1423327908653291,-2.446378871922618]",1000270,"[-0.14787763616606964,-0.20510296321798888,-0.049336762797363785]",4294967295,False,False,target_outside_reachability_intersection,False,,8,167,4.654176,5.643935990519822,30,0,0.641312,94,4294967295,-1.0,-1.0,1.5831172688899358,-1.0,0,[],"[1.0419782091117193,0.3294263252257559,0.49267009403132667,0.6492350349166411,0.7731906277090517,1.3647630874340853]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_028,28,base_000036,36,21,dynamic,point,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",0,2698,"[1.7778153377300532,0.5355241942074627,-0.8900745802225678,1.5184895230983857,-1.274735275294368,-1.5991735693520797]","[0.09874450698783913,0.044966080456833465,0.3674069142150357]","[-2.227285226139204,-1.0615459765859057,0.5401687315825798,0.30330218598422265,1.0165716527779993,-2.471362829552484]",1000280,"[0.09874450698783913,0.044966080456833465,0.3674069142150357]",1000280,True,True,path_ready_exact_validated_preview_only,False,,5,148,6.763136,8.442655991530046,119,0,2.330624,60,117,0.010520773342573538,7.162493388463641,0.533134744449738,7.695628132913379,4,"[60,267,226,117]","[1.7778153377300532,0.5355241942074627,-0.8900745802225678,1.5184895230983857,-1.274735275294368,-1.5991735693520797]"
23,7,107,guarded_gng,2,43,guarded_gng,1,scene_028,28,base_000036,36,21,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",1,2697,"[1.7778153377300532,0.5355241942074627,-0.8900745802225678,1.5184895230983857,-1.274735275294368,-1.5991735693520797]","[0.09874450698783913,0.044966080456833465,0.3674069142150357]","[-2.227285226139204,-1.0615459765859057,0.5401687315825798,0.30330218598422265,1.0165716527779993,-2.471362829552484]",1000280,"[0.09874450698783913,0.044966080456833465,0.3674069142150357]",1000280,True,True,path_ready_exact_validated_preview_only,False,,0,0,3.235168,4.685247986344621,119,0,2.3573119999999985,60,117,0.010520773342573538,7.162493388463641,0.533134744449738,7.695628132913379,4,"[60,267,226,117]","[1.7778153377300532,0.5355241942074627,-0.8900745802225678,1.5184895230983857,-1.274735275294368,-1.5991735693520797]"
