constant_axis,constant_mm,total,position_found,pose_found,position_percent,pose_percent,pose_near_singular,orientation_unresolved,collision_candidates_only,position_unresolved,witness_margin_below_1deg,svg
Y,-225.000000,997,507,103,50.85256,10.33099,3,404,0,490,24,slices/Y_minus_225mm.svg
Y,-200.000000,1049,556,92,53.00286,8.77026,2,464,0,493,28,slices/Y_minus_200mm.svg
Y,-175.000000,1101,601,86,54.58674,7.81108,1,515,0,500,28,slices/Y_minus_175mm.svg
Y,-150.000000,1137,633,101,55.67282,8.88303,7,532,0,504,30,slices/Y_minus_150mm.svg
Y,-125.000000,1185,675,115,56.96203,9.70464,8,560,0,510,30,slices/Y_minus_125mm.svg
Y,-100.000000,1201,690,110,57.45212,9.15903,11,580,0,511,23,slices/Y_minus_100mm.svg
Y,-75.000000,1225,709,111,57.87755,9.06122,13,598,0,516,28,slices/Y_minus_75mm.svg
Y,-50.000000,1237,719,113,58.12449,9.13500,13,606,3,515,38,slices/Y_minus_50mm.svg
Y,-25.000000,1245,707,115,56.78715,9.23695,11,592,25,513,45,slices/Y_minus_25mm.svg
Y,0.000000,1257,704,112,56.00636,8.91010,13,592,29,524,54,slices/Y_plus_0mm.svg
Y,25.000000,1245,706,116,56.70683,9.31727,11,590,27,512,45,slices/Y_plus_25mm.svg
Y,50.000000,1237,716,115,57.88197,9.29669,13,601,6,515,41,slices/Y_plus_50mm.svg
Y,75.000000,1225,711,112,58.04082,9.14286,12,599,0,514,41,slices/Y_plus_75mm.svg
Y,100.000000,1201,691,110,57.53539,9.15903,12,581,0,510,41,slices/Y_plus_100mm.svg
Y,125.000000,1185,674,115,56.87764,9.70464,12,559,0,511,27,slices/Y_plus_125mm.svg
Y,150.000000,1137,633,101,55.67282,8.88303,8,532,0,504,34,slices/Y_plus_150mm.svg
Y,175.000000,1101,601,86,54.58674,7.81108,3,515,0,500,38,slices/Y_plus_175mm.svg
Y,200.000000,1049,556,92,53.00286,8.77026,2,464,0,493,31,slices/Y_plus_200mm.svg
Y,225.000000,997,507,103,50.85256,10.33099,4,404,0,490,32,slices/Y_plus_225mm.svg
Y,250.000000,949,452,105,47.62908,11.06428,2,347,0,497,35,slices/Y_plus_250mm.svg
Y,275.000000,877,388,113,44.24173,12.88483,2,275,0,489,31,slices/Y_plus_275mm.svg
Y,300.000000,797,315,101,39.52321,12.67252,1,214,0,482,16,slices/Y_plus_300mm.svg
Y,325.000000,725,241,77,33.24138,10.62069,3,164,0,484,19,slices/Y_plus_325mm.svg
Y,350.000000,641,157,49,24.49298,7.64431,3,108,0,484,14,slices/Y_plus_350mm.svg
Y,375.000000,553,65,19,11.75407,3.43580,6,46,0,488,9,slices/Y_plus_375mm.svg
Y,400.000000,441,0,0,0.00000,0.00000,0,0,0,441,0,slices/Y_plus_400mm.svg
Y,425.000000,349,0,0,0.00000,0.00000,0,0,0,349,0,slices/Y_plus_425mm.svg
Y,450.000000,241,0,0,0.00000,0.00000,0,0,0,241,0,slices/Y_plus_450mm.svg
Y,475.000000,121,0,0,0.00000,0.00000,0,0,0,121,0,slices/Y_plus_475mm.svg
Y,500.000000,1,0,0,0.00000,0.00000,0,0,0,1,0,slices/Y_plus_500mm.svg
Z,-500.000000,1,0,0,0.00000,0.00000,0,0,0,1,0,slices/Z_minus_500mm.svg
Z,-475.000000,121,0,0,0.00000,0.00000,0,0,0,121,0,slices/Z_minus_475mm.svg
Z,-450.000000,241,0,0,0.00000,0.00000,0,0,0,241,0,slices/Z_minus_450mm.svg
Z,-425.000000,349,0,0,0.00000,0.00000,0,0,0,349,0,slices/Z_minus_425mm.svg
Z,-400.000000,441,0,0,0.00000,0.00000,0,0,0,441,0,slices/Z_minus_400mm.svg
Z,-375.000000,553,0,0,0.00000,0.00000,0,0,0,553,0,slices/Z_minus_375mm.svg
Z,-350.000000,641,0,0,0.00000,0.00000,0,0,0,641,0,slices/Z_minus_350mm.svg
Z,-325.000000,725,0,0,0.00000,0.00000,0,0,0,725,0,slices/Z_minus_325mm.svg
