run_index,stream_ordinal,roadmap_stream_id,method,method_order_position,ros_domain_id,graph_revision,scene_id,catalog_index,scene_order_position,phase,obstacle_kind,stratum,query_id,start_joint_positions,target_position,target_source_joint_positions,requested_target_environment_node_id,requested_target_position,selected_target_environment_node_id,valid,exact_valid,reason,timeout,infrastructure_error,blocked_nodes,blocked_edges,planning_time_ms,publish_to_plan_ms,exact_checks,exact_replans,exact_time_ms,start_node_id,goal_node_id,target_distance,graph_cost,start_connection_cost,total_joint_path_cost,path_nodes,path_ids,preview_start_joints
9,3,9003,guarded_gng,0,29,1,scene_000,0,3,clear,none,"{""difficulty"":""low"",""obstacle_kind"":""point""}",121,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000000,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000000,True,True,path_ready_exact_validated_preview_only,False,,0,0,8.546272,11.528639999596635,279,0,7.487743999999996,670,76,0.020609514918997218,15.846284007993296,0.8504442674149819,16.696728275408276,9,"[670,309,342,285,576,173,50,142,76]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
9,3,9003,guarded_gng,0,29,1,scene_000,0,3,dynamic,point,"{""difficulty"":""low"",""obstacle_kind"":""point""}",122,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000000,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000000,True,True,path_ready_exact_validated_preview_only,False,,6,53,10.507744,13.103295998007525,279,0,7.4285440000000005,670,76,0.020609514918997218,15.846284007993296,0.8504442674149819,16.696728275408276,9,"[670,309,342,285,576,173,50,142,76]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
9,3,9003,guarded_gng,0,29,1,scene_001,1,4,clear,none,"{""difficulty"":""low"",""obstacle_kind"":""segment""}",123,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000010,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000010,True,True,path_ready_exact_validated_preview_only,False,,0,0,8.236256,10.597024000162492,279,0,7.207328000000002,670,76,0.020609514918997218,15.846284007993296,0.8504442674149819,16.696728275408276,9,"[670,309,342,285,576,173,50,142,76]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
9,3,9003,guarded_gng,0,29,1,scene_001,1,4,dynamic,segment,"{""difficulty"":""low"",""obstacle_kind"":""segment""}",124,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000010,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000010,True,True,path_ready_exact_validated_preview_only,False,,15,90,19.282784,21.65056000012555,279,0,7.255487999999995,670,76,0.020609514918997218,15.846284007993296,0.8504442674149819,16.696728275408276,9,"[670,309,342,285,576,173,50,142,76]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
9,3,9003,guarded_gng,0,29,1,scene_002,2,5,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",125,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000020,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,0,0,1.291232,2.572127999883378,10,0,0.30044800000000005,400,4294967295,-1.0,-1.0,0.5690071204536054,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
9,3,9003,guarded_gng,0,29,1,scene_002,2,5,dynamic,point,"{""difficulty"":""medium"",""obstacle_kind"":""point""}",126,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000020,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,5,30,2.654208,3.8194560002011713,10,0,0.32156799999999996,400,4294967295,-1.0,-1.0,0.5690071204536054,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
10,3,9003,halton_prm,1,30,1,scene_003,3,0,clear,none,"{""difficulty"":""medium"",""obstacle_kind"":""segment""}",139,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000030,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,0,0,1.91136,3.672319999168394,35,0,0.7207359999999999,262,4294967295,-1.0,-1.0,1.9945357324715232,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
10,3,9003,halton_prm,1,30,1,scene_003,3,0,dynamic,segment,"{""difficulty"":""medium"",""obstacle_kind"":""segment""}",140,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000030,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,10,59,9.37968,11.77990400174167,35,0,0.7664320000000002,262,4294967295,-1.0,-1.0,1.9945357324715232,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
10,3,9003,halton_prm,1,30,1,scene_004,4,1,clear,none,"{""difficulty"":""high"",""obstacle_kind"":""point""}",141,"[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]","[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]","[-0.8077631532677074,1.4835615271554126,-1.4581959606298902,0.3785138032566211,-1.4084514626399218,0.613324509477494]",1000040,"[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]",1000040,True,True,path_ready_exact_validated_preview_only,False,,0,0,5.618848,8.84560000122292,202,0,4.456864000000002,577,686,0.013627288677685112,13.055985837169851,1.2642746770130042,14.320260514182856,7,"[577,487,1,311,745,339,686]","[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]"
10,3,9003,halton_prm,1,30,1,scene_004,4,1,dynamic,point,"{""difficulty"":""high"",""obstacle_kind"":""point""}",142,"[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]","[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]","[-0.8077631532677074,1.4835615271554126,-1.4581959606298902,0.3785138032566211,-1.4084514626399218,0.613324509477494]",1000040,"[-0.04611698697205266,-0.024969701214781266,0.2218060128781193]",1000040,True,True,path_ready_exact_validated_preview_only,False,,11,235,9.550304,12.894976000097813,202,0,4.425247999999999,577,686,0.013627288677685112,13.055985837169851,1.2642746770130042,14.320260514182856,7,"[577,487,1,311,745,339,686]","[-2.1230190502539448,-1.4147414260453588,0.26437216882660053,1.2194913724220147,1.672180996987046,1.5886364397727109]"
